GeneID	log2(FC)
FBgn0026562	-2.38255375305387
FBgn0039155	-4.07674246609375
FBgn0003360	-2.99542318410968
FBgn0025111	2.68038350347055
FBgn0029167	-2.11124928853594
FBgn0039827	-3.37069793824437
FBgn0035085	-2.41861841923728
FBgn0264475	-2.31429990153943
FBgn0034736	-2.9275721564722
FBgn0000071	2.33699940165458
FBgn0029896	-2.17486621457191
FBgn0038832	-2.28372207627057
FBgn0027279	-1.16269191876263
FBgn0035189	2.3599053706463
FBgn0001226	1.55764685859113
FBgn0040091	-1.46340061439228
FBgn0040099	-1.63623036758216
FBgn0023479	-1.43344793547148
FBgn0264753	-2.4309170761896
FBgn0011260	1.9365045275981
FBgn0039419	-1.11684352842828
FBgn0262733	1.82613315140218
FBgn0261552	-1.61734618604499
FBgn0033913	-1.12623017297366
FBgn0037754	-1.96113655453974
FBgn0085359	-2.60560460469667
FBgn0024288	-2.55128405046541
FBgn0031150	1.18389374390619
FBgn0052407	-1.80911695721505
FBgn0051092	1.88852456873656
FBgn0051363	0.927156624254277
FBgn0034010	-1.33216262578889
FBgn0283658	-1.08366060779576
FBgn0035147	-1.11827059736427
FBgn0264437	2.09110023660023
FBgn0261673	2.24691013733648
FBgn0003748	1.03747160377076
FBgn0001224	1.34216708733463
FBgn0040827	-1.65963297477601
FBgn0037468	0.909529932151992
FBgn0261596	-1.04359181626419
FBgn0283437	1.36812627421106
FBgn0037290	2.12228559247294
FBgn0016715	-1.83162439607141
FBgn0039109	-1.2422503255878
FBgn0063649	-1.14429138724376
FBgn0050147	-0.938934018963745
FBgn0038149	1.00594332464907
FBgn0032405	1.87424079584695
FBgn0053307	-1.29014735263116
FBgn0260011	1.81572338655448
FBgn0001137	-1.25241339333027
FBgn0259715	-1.54827053416178
FBgn0003137	0.864667460566544
FBgn0261584	-1.70334123397447
FBgn0001225	1.20992591299501
FBgn0031322	-1.3085397093546
FBgn0024315	-1.78552526200758
FBgn0039464	0.993489153235223
FBgn0040271	0.908949022225395
FBgn0051523	-0.754890110259811
FBgn0033367	1.25379694401129
FBgn0002868	-1.66083889783073
FBgn0000406	-1.64818798407227
FBgn0039257	-1.01807431058203
FBgn0036985	-1.20371907958714
FBgn0261800	-0.727402450790681
FBgn0265276	1.53518830952334
FBgn0001258	0.857376837988579
FBgn0030237	-0.89573398432876
FBgn0262057	-0.933872306220775
FBgn0031449	-0.84217775017507
FBgn0063498	-1.22028683983697
FBgn0032004	-1.07963950081759
FBgn0267992	-1.51539741339932
FBgn0033635	1.0774590753881
FBgn0031327	1.1054256983278
FBgn0051642	1.55653951095101
FBgn0030041	-1.80878654062579
FBgn0037239	-0.862530076639932
FBgn0039479	1.29482305466306
FBgn0051038	-0.915175635082193
FBgn0263232	1.16270197858533
FBgn0037153	1.43566774181318
FBgn0031805	-0.869194684956069
FBgn0024491	0.974297565345412
FBgn0034885	1.3389394128822
FBgn0052521	-0.809009255851886
FBgn0034389	-1.53727223154193
FBgn0000116	1.06963558503249
FBgn0027580	-0.872646332177739
FBgn0051195	0.767532657424198
FBgn0032598	0.997841833819392
FBgn0051337	-0.937343354736644
FBgn0050069	-0.836193191738315
FBgn0013763	-0.665289145964923
FBgn0034638	-0.861724384923841
FBgn0261560	-0.844437390393413
FBgn0023549	-1.27281783823161
FBgn0040398	-0.78454966725546
FBgn0036373	-0.957591714037499
FBgn0036299	0.825373329587491
FBgn0004369	-0.801610405139278
FBgn0036684	-0.797578674979888
FBgn0040388	-0.930558136651364
FBgn0022160	-0.877857693652543
FBgn0051431	-0.697364944064702
FBgn0261284	1.55016451806204
FBgn0035968	0.988539299115246
FBgn0052625	1.28952134376129
FBgn0038528	1.19951651967146
FBgn0037683	-0.818578600355647
FBgn0030805	0.902312539798133
FBgn0031359	-0.811298406926033
FBgn0050463	1.58309828244695
FBgn0028514	-0.917612917953842
FBgn0004396	0.998842449760967
FBgn0053516	-0.803315230023361
FBgn0000567	-1.08652036165116
FBgn0034438	1.40492230970429
FBgn0038198	1.52384613928634
FBgn0005593	-0.652795778092918
FBgn0032956	0.6102162326952
FBgn0003502	0.681971320581293
FBgn0031374	-0.758969904652944
FBgn0043364	-1.00806960831873
FBgn0039714	-0.644122542957298
FBgn0033426	-0.924015357966304
FBgn0028990	-0.719326363526616
FBgn0027515	0.823262549319918
FBgn0004893	-0.807778620373716
FBgn0037646	-1.55336139503371
FBgn0034718	1.14240952180328
FBgn0086365	-0.555093571454199
FBgn0028327	0.5983200276863
FBgn0261238	0.695633860988908
FBgn0031703	-1.38801391835012
FBgn0038476	0.653465182714926
FBgn0015371	-0.92207329112851
FBgn0086450	-0.550930053384254
FBgn0003076	0.653325641384814
FBgn0259749	-0.665590193796799
FBgn0033065	1.55531041334039
FBgn0039113	0.815682511741449
FBgn0029801	-0.758165456987652
FBgn0043841	-0.652507318629698
FBgn0024984	1.16848678234906
FBgn0037680	0.793863568200662
FBgn0028542	-0.933754126497813
FBgn0040752	-0.800539766459742
FBgn0266064	0.55541734731948
FBgn0001124	0.604547583195651
FBgn0038805	0.698204868055332
FBgn0004507	0.821301929594533
FBgn0036824	-0.608757874414534
FBgn0035150	0.543823390711021
FBgn0028473	-0.562626872029345
FBgn0036663	-0.663468743071433
FBgn0044047	-0.753211541721868
FBgn0031547	-1.17444636146467
FBgn0004108	0.757821105755736
FBgn0259740	0.768433217394746
FBgn0013811	-0.83722299132685
FBgn0011274	-0.686237649614851
FBgn0063492	0.728299377255462
FBgn0031313	-0.669145075649233
FBgn0286071	0.7502708841479
FBgn0052412	-0.630823571158184
FBgn0267635	1.04538476711433
FBgn0031307	0.709308531178929
FBgn0033775	1.3855180651939
FBgn0250867	0.771922357643504
FBgn0030529	-0.538642827336012
FBgn0038865	-0.913893018848474
FBgn0005640	0.624001295081998
FBgn0011722	-0.59717127201548
FBgn0263873	-0.87097125950534
FBgn0027594	-0.555389564041225
FBgn0030037	0.652344712291557
FBgn0025678	0.497143197038901
FBgn0039809	-0.822367455229614
FBgn0033724	1.14790616377271
FBgn0260745	-0.570925870969142
FBgn0013272	-0.47781067485683
FBgn0026376	-0.885337436477322
FBgn0035344	-1.23392590458541
FBgn0262620	0.959465660944071
FBgn0267252	-1.13170550005245
FBgn0038877	-0.639341472272152
FBgn0261808	-0.796793776653243
FBgn0027949	0.600432604037442
FBgn0026721	-0.698509196314991
FBgn0032638	-1.15001461036653
FBgn0010591	-0.648627250616989
FBgn0020257	-0.634936971898987
FBgn0086355	0.635031740278267
